state,state_abb,zip_code,year,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_total,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,actual_index_violent,actual_index_property,actual_index_total,population,population_group,juvenile_age,violent_rate_100k,property_rate_100k,total_rate_100k
michigan,MI,48126,1987,4,24,200,788,865,4939,1457,400,7286,7686,86842,"city 50,000 thru 99,999",17,460.60661891711385,8389.949563575228,8850.556182492342
michigan,MI,48126,1988,3,17,218,797,919,5347,1492,458,7773,8231,86459,"city 50,000 thru 99,999",17,529.7308550873825,8990.38850784765,9520.119362935033
michigan,MI,48126,1989,4,4,173,892,568,4964,1235,469,6779,7248,86490,"city 50,000 thru 99,999",17,542.2592207191583,7837.900335298878,8380.159556018036
michigan,MI,48126,1990,5,12,153,996,471,5140,1109,505,6727,7232,89286,"city 50,000 thru 99,999",17,565.5981900857917,7534.215890509151,8099.8140805949415
michigan,MI,48126,1991,6,11,198,910,745,5487,820,530,7074,7604,89984,"city 50,000 thru 99,999",17,588.9935988620199,7861.397581792319,8450.391180654338
michigan,MI,48154,1973,3,17,86,407,1274,2577,451,200,4302,4502,113800,"city 100,000 thru 249,999",17,175.7469244288225,3780.316344463972,3956.063268892794
michigan,MI,48154,1974,4,10,88,543,1837,3067,563,230,5467,5697,114200,"city 100,000 thru 249,999",17,201.40105078809106,4787.215411558669,4988.61646234676
michigan,MI,48154,1975,2,15,121,392,1533,3030,550,276,5113,5389,110662,"city 100,000 thru 249,999",17,249.40810757080118,4620.375558005458,4869.783665576259
michigan,MI,48154,1976,2,12,97,420,966,3252,467,280,4685,4720,109500,"city 100,000 thru 249,999",17,255.70776255707761,4278.5388127853885,4310.502283105023
michigan,MI,48154,1977,2,16,61,421,933,2854,500,221,4287,4508,115000,"city 100,000 thru 249,999",17,192.17391304347825,3727.826086956522,3920
michigan,MI,48154,1978,0,6,72,438,1004,2934,519,223,4457,4680,112700,"city 100,000 thru 249,999",17,197.8704525288376,3954.747116237799,4152.617568766637
michigan,MI,48154,1979,2,7,70,473,965,3241,555,250,4829,5079,105735,"city 100,000 thru 249,999",17,236.44015699626425,4567.07807253984,4803.518229536105
michigan,MI,48154,1980,1,10,67,482,1077,3358,526,277,5187,5464,104728,"city 100,000 thru 249,999",17,264.4946910090902,4952.830188679246,5217.324879688335
michigan,MI,48154,1981,2,9,70,527,1342,3395,611,298,5508,5806,104420,"city 100,000 thru 249,999",17,285.3859413905382,5274.851561003639,5560.237502394178
michigan,MI,48154,1982,2,15,85,485,1313,2949,651,276,4944,5220,103376,"city 100,000 thru 249,999",17,266.9865345921684,4782.541402259712,5049.52793685188
michigan,MI,48154,1983,1,16,67,502,1178,2682,844,264,4744,5008,102921,"city 100,000 thru 249,999",17,256.50741831113186,4609.360577530339,4865.8679958414705
michigan,MI,48154,1984,2,6,56,332,759,1653,649,162,3066,3228,100915,"city 100,000 thru 249,999",17,160.53114006837436,3038.2004657384928,3198.731605806867
michigan,MI,48154,1985,3,16,79,484,1038,2608,923,259,4584,4843,100511,"city 100,000 thru 249,999",17,257.683238650496,4560.694849319974,4818.378087970471
michigan,MI,48154,1986,1,18,130,843,804,2912,1098,397,4841,5238,101098,"city 100,000 thru 249,999",17,392.68828265643236,4788.423114206018,5181.11139686245
michigan,MI,48154,1987,0,17,147,646,878,3163,1085,356,5165,5521,101031,"city 100,000 thru 249,999",17,352.3670952479932,5112.292266730014,5464.659361978007
michigan,MI,48154,1988,0,14,91,586,885,2649,842,288,4400,4688,100586,"city 100,000 thru 249,999",17,286.32215218817726,4374.366213986042,4660.6883661742195
michigan,MI,48154,1989,2,12,93,562,866,3055,699,242,4654,4896,101463,"city 100,000 thru 249,999",17,238.51059006731518,4586.893744517706,4825.404334585021
michigan,MI,48154,1990,1,21,91,637,697,2867,511,281,4092,4373,100850,"city 100,000 thru 249,999",17,278.6316311353495,4057.5111551809614,4336.142786316311
michigan,MI,48154,1991,0,22,101,619,653,2883,498,287,4034,4321,101638,"city 100,000 thru 249,999",17,282.3747023750959,3968.9879769377594,4251.362679312855
michigan,MI,48185,1979,2,44,84,867,902,3203,438,268,4580,4848,86502,"city 50,000 thru 99,999",17,309.81942614043606,5294.675267623869,5604.494693764306
michigan,MI,48185,1991,4,45,89,1943,928,3469,741,495,5188,5683,85386,"city 50,000 thru 99,999",17,579.7203288595321,6075.937507319701,6655.6578361792335
michigan,MI,48226,1987,686,1417,15093,13922,36900,43914,29819,27778,112200,139978,1091523,"city 1,000,000+",17,2544.8845328957796,10279.21537154966,12824.09990444544
michigan,MI,48226,1988,629,1447,12978,14129,32147,43259,30123,25805,107217,133022,1086714,"city 1,000,000+",17,2374.5898184802995,9866.165338810395,12240.755157290694
michigan,MI,48226,1989,624,1424,11902,14401,29031,43577,28123,24956,102262,127218,1039599,"city 1,000,000+",17,2400.5409778193325,9836.677411194123,12237.218389013457
michigan,MI,48226,1990,582,1657,13010,16215,26063,41139,30376,27747,98884,126631,1027974,"city 1,000,000+",17,2699.192781140379,9619.309437787337,12318.502218927715
michigan,MI,48226,1991,615,1427,13569,16477,26059,44019,28740,28262,100342,128604,1036246,"city 1,000,000+",17,2727.3446652628813,9683.221937648012,12410.56660291089
michigan,MI,48605,1973,30,62,577,1962,2469,4764,255,1174,7488,8662,87022,"city 50,000 thru 99,999",17,1349.0841396428489,8604.720645354048,9953.804784996897
michigan,MI,48605,1974,20,66,611,1766,3209,5484,302,1390,8995,10385,88400,"city 50,000 thru 99,999",17,1572.3981900452488,10175.339366515836,11747.737556561086
michigan,MI,48605,1975,42,71,714,1737,3013,4950,288,1474,8251,9725,86222,"city 50,000 thru 99,999",17,1709.5404885064138,9569.483426503677,11279.02391501009
michigan,MI,48933,1973,11,42,248,1144,2619,5439,622,598,8680,9278,140228,"city 100,000 thru 249,999",17,426.4483555352711,6189.919274324671,6616.367629859943
michigan,MI,48933,1974,11,35,242,1086,2928,6029,560,640,9517,10157,143122,"city 100,000 thru 249,999",17,447.17094506784423,6649.571694079177,7096.742639147022
michigan,MI,48933,1975,8,48,298,921,2557,6275,413,659,9245,9904,135219,"city 100,000 thru 249,999",17,487.3575459070101,6837.056922473912,7324.414468380923
michigan,MI,48933,1976,7,50,195,962,2175,6983,374,578,9532,10110,134421,"city 100,000 thru 249,999",17,429.9923375067884,7091.153911963161,7521.146249469948
michigan,MI,48933,1977,13,60,179,1044,2033,5221,392,570,7646,8216,134423,"city 100,000 thru 249,999",17,424.0345774160672,5688.014699865351,6112.049277281418
michigan,MI,48933,1978,13,67,149,1373,2235,5013,442,695,7690,8385,156884,"city 100,000 thru 249,999",17,443.00247316488617,4901.710818184136,5344.713291349022
michigan,MI,48933,1979,7,54,180,1476,2029,5241,509,689,7883,8572,125976,"city 100,000 thru 249,999",17,546.9295738870895,6257.541118943291,6804.47069283038
michigan,MI,48933,1980,4,53,216,1632,2534,5881,365,735,8851,9586,125776,"city 100,000 thru 249,999",17,584.3722172751559,7037.113598778781,7621.485816053937
michigan,MI,48933,1981,9,111,153,1866,2696,6139,280,893,9198,10091,125407,"city 100,000 thru 249,999",17,712.0814627572623,7334.5188067651725,8046.600269522434
michigan,MI,48933,1982,8,181,250,1706,3264,6168,322,1012,9819,10831,124152,"city 100,000 thru 249,999",17,815.1298408402603,7908.853663251499,8723.983504091759
michigan,MI,48933,1983,5,76,247,1578,2914,5854,283,914,9150,10064,123606,"city 100,000 thru 249,999",17,739.4463051955406,7402.553274112906,8141.999579308448
michigan,MI,48933,1984,17,92,180,2244,2383,5493,460,1102,8436,9538,127767,"city 100,000 thru 249,999",17,862.5075332441085,6602.643875179037,7465.151408423146
michigan,MI,48933,1985,6,75,210,2203,2391,5998,424,1064,8914,9978,128161,"city 100,000 thru 249,999",17,830.205756821498,6955.314019085369,7785.519775906867
michigan,MI,48933,1986,6,145,293,3045,3107,6607,468,1501,10268,11769,128909,"city 100,000 thru 249,999",17,1164.3872809501277,7965.308861289746,9129.696142239874
michigan,MI,48933,1987,8,164,336,3306,2612,6043,657,1684,9390,11074,129610,"city 100,000 thru 249,999",17,1299.2824627729342,7244.811357148369,8544.093819921303
michigan,MI,48933,1988,11,136,398,3163,2309,5910,685,1602,9001,10603,131239,"city 100,000 thru 249,999",17,1220.6737326556893,6858.479567811397,8079.153300467087
michigan,MI,48933,1989,16,148,360,3231,1963,5915,620,1591,8580,10171,125419,"city 100,000 thru 249,999",17,1268.5478276816111,6841.068737591593,8109.616565273204
michigan,MI,48933,1990,11,163,309,3953,1748,6376,576,1874,8792,10666,127321,"city 100,000 thru 249,999",17,1471.8703120459313,6905.380887677602,8377.251199723532
michigan,MI,48933,1991,12,188,294,3726,1759,6218,595,1768,8659,10427,128315,"city 100,000 thru 249,999",17,1377.859174687293,6748.236761095741,8126.095935783034
michigan,MI,49502,1973,16,74,404,1077,3449,5017,654,979,9120,10099,197934,"city 100,000 thru 249,999",17,494.60931421584974,4607.596471551123,5102.205785766973
michigan,MI,49502,1974,16,83,452,865,3724,5256,672,991,9652,10643,195200,"city 100,000 thru 249,999",17,507.6844262295082,4944.67213114754,5452.356557377049
michigan,MI,49502,1975,21,83,438,1785,4445,8137,515,1214,13097,14311,198342,"city 100,000 thru 249,999",17,612.07409424126,6603.240866785653,7215.314961026913
michigan,MI,49502,1976,10,75,345,1831,3898,7876,505,1105,12279,13384,193500,"city 100,000 thru 249,999",17,571.0594315245478,6345.736434108528,6916.795865633076
michigan,MI,49502,1977,14,95,384,1912,4086,7913,587,1221,12586,13807,196538,"city 100,000 thru 249,999",17,621.2539050972331,6403.850654835197,7025.104559932431
michigan,MI,49502,1978,12,121,398,2350,3586,7049,635,1274,11270,12544,189200,"city 100,000 thru 249,999",17,673.3615221987314,5956.659619450317,6630.021141649049
michigan,MI,49502,1979,14,157,565,2561,4221,8047,753,1603,13203,14806,185416,"city 100,000 thru 249,999",17,864.5424343098762,7120.744703801182,7985.287138111058
michigan,MI,49502,1980,28,188,529,2983,4437,9275,686,1787,14576,16363,181602,"city 100,000 thru 249,999",17,984.019999779738,8026.3433222101085,9010.363321989846
michigan,MI,49502,1981,24,190,562,3192,4660,9905,608,1876,15326,17202,181068,"city 100,000 thru 249,999",17,1036.0748448096847,8464.223385689354,9500.29823049904
michigan,MI,49502,1982,22,173,631,3540,4717,10733,585,2016,16169,18185,179258,"city 100,000 thru 249,999",17,1124.6359995090875,9019.960057570654,10144.59605707974
michigan,MI,49502,1983,20,198,598,3712,4482,9804,637,1994,15054,17048,178470,"city 100,000 thru 249,999",17,1117.2746119796043,8435.031097663474,9552.305709643077
michigan,MI,49502,1984,19,193,561,3963,4206,9251,648,2028,14229,16257,181960,"city 100,000 thru 249,999",17,1114.5306660804574,7819.850516597055,8934.38118267751
michigan,MI,49502,1985,19,219,673,4554,3576,9318,762,2214,13764,15978,183270,"city 100,000 thru 249,999",17,1208.0536912751677,7510.230807006056,8718.284498281224
michigan,MI,49502,1986,21,220,455,4993,3508,9572,1197,2142,14399,16541,184340,"city 100,000 thru 249,999",17,1161.9832917435174,7811.109905609201,8973.093197352717
michigan,MI,49502,1987,15,268,504,5474,3984,9970,1130,2251,15236,17487,187441,"city 100,000 thru 249,999",17,1200.9112200639133,8128.424410881291,9329.335630945205
michigan,MI,49502,1988,24,307,498,5531,3728,8347,1245,2317,13480,15797,190343,"city 100,000 thru 249,999",17,1217.276180369123,7081.952054974441,8299.228235343564
michigan,MI,49502,1989,13,297,590,5733,3697,8126,1604,2309,13539,15848,186036,"city 100,000 thru 249,999",17,1241.1576254058355,7277.623685738244,8518.781311144081
michigan,MI,49502,1990,18,378,681,6669,3743,8138,1494,3025,13516,16541,189126,"city 100,000 thru 249,999",17,1599.4627920010998,7146.5583790700375,8746.021171071137
michigan,MI,49502,1991,22,370,771,7283,4270,8675,1271,3278,14329,17607,190604,"city 100,000 thru 249,999",17,1719.7960168726784,7517.680636293047,9237.476653165726
