"state","state_abb","zip_code","year","actual_murder","actual_rape_total","actual_robbery_total","actual_assault_total","actual_burg_total","actual_theft_total","actual_mtr_veh_theft_total","actual_index_violent","actual_index_property","actual_index_total","population","population_group","juvenile_age"
"michigan","MI",49502,1978,12,121,398,2350,3586,7049,635,1274,11270,12544,189200,"city 100,000 thru 249,999",17
"michigan","MI",49502,1979,14,157,565,2561,4221,8047,753,1603,13203,14806,185416,"city 100,000 thru 249,999",17
"michigan","MI",49502,1980,28,188,529,2983,4437,9275,686,1787,14576,16363,181602,"city 100,000 thru 249,999",17
"michigan","MI",49502,1981,24,190,562,3192,4660,9905,608,1876,15326,17202,181068,"city 100,000 thru 249,999",17
"michigan","MI",49502,1982,22,173,631,3540,4717,10733,585,2016,16169,18185,179258,"city 100,000 thru 249,999",17
"michigan","MI",49502,1983,20,198,598,3712,4482,9804,637,1994,15054,17048,178470,"city 100,000 thru 249,999",17
"michigan","MI",49502,1984,19,193,561,3963,4206,9251,648,2028,14229,16257,181960,"city 100,000 thru 249,999",17
"michigan","MI",49502,1985,19,219,673,4554,3576,9318,762,2214,13764,15978,183270,"city 100,000 thru 249,999",17
"michigan","MI",49502,1986,21,220,455,4993,3508,9572,1197,2142,14399,16541,184340,"city 100,000 thru 249,999",17
"michigan","MI",49502,1987,15,268,504,5474,3984,9970,1130,2251,15236,17487,187441,"city 100,000 thru 249,999",17
"michigan","MI",49502,1988,24,307,498,5531,3728,8347,1245,2317,13480,15797,190343,"city 100,000 thru 249,999",17
"michigan","MI",49502,1989,13,297,590,5733,3697,8126,1604,2309,13539,15848,186036,"city 100,000 thru 249,999",17
"michigan","MI",49502,1990,18,378,681,6669,3743,8138,1494,3025,13516,16541,189126,"city 100,000 thru 249,999",17
"michigan","MI",49502,1991,22,370,771,7283,4270,8675,1271,3278,14329,17607,190604,"city 100,000 thru 249,999",17
