"state","year","pop_sum","murder","rape","robbery","assault","burglary","larceny","mv_theft","violent","property","total","violent_rate_100k","property_rate_100k","total_rate_100k"
"michigan",1978,112203504,969,3621,20126,81250,132007,278034,48257,52856,458298,511154,47.10726324554,408.452484692457,455.559747937997
"michigan",1979,112207872,830,4068,20093,88520,137232,310317,54803,56023,506405,562428,49.9278695883298,451.309690642739,501.237560231068
"michigan",1980,112564296,937,4267,22363,90471,158972,337708,53565,58342,557277,615619,51.8299337118406,495.074388418864,546.904322130705
"michigan",1981,112443240,861,4349,23632,88023,170298,339429,58202,58800,573008,631808,52.2930502536213,509.597553396718,561.890603650339
"michigan",1982,111265668,785,3924,23757,83364,152760,301004,58948,55880,513447,569327,50.2221404000379,461.460403041844,511.682543441882
"michigan",1983,110776596,868,4814,25015,95187,144288,277580,62548,61425,491733,553158,55.4494380744467,443.896109607845,499.345547682292
"michigan",1984,111221292,870,5713,27593,100046,147146,293151,77936,65591,527640,593231,58.9734203051696,474.405566157243,533.378986462412
"michigan",1985,111384132,1018,6129,26547,104945,138516,296720,75108,66610,514262,580872,59.8020551078137,461.701313073931,521.503368181744
"michigan",1986,112095624,1027,6109,27325,118154,136025,302212,72080,72688,515869,588557,64.8446365756437,460.20440548152,525.049042057164
"michigan",1987,113069364,1119,6143,25289,119980,132333,314641,68429,71257,520902,592159,63.0206074211225,460.692429471877,523.713036893
"michigan",1988,114423516,1003,6369,22073,121530,119800,297814,67125,67848,489859,557707,59.2955035571534,428.110424434082,487.405927991236
"michigan",1989,114012948,982,6462,20324,120607,110639,296238,65296,64436,476772,541208,56.5163879456919,418.173556919167,474.689944864859
"michigan",1990,114318624,961,7097,21485,137797,104301,303253,65219,72238,477233,549471,63.19005379211,417.458663603229,480.648717395339
"michigan",1991,115139388,1004,7282,22575,141578,109398,317457,62640,74242,494236,568478,64.4801064949207,429.250153735401,493.730260230322
